article_index,title,url,avg_label,avg_score,num_sentences,sentence,sent_label,sent_score,sent_value
12,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.24013230630329677,42,"News News Africa Nigeria cancels mother-tongue teaching in primary schools and reverts to English Exam results from areas which dropped English have declined, the education minister says, announcing the U-turn.",NEGATIVE,0.9991777539253235,-0.9991777539253235
12,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.24013230630329677,42,"7 hrs ago Africa US calls for international action to cut weapons supply to Sudan paramilitaries ""They're committing acts of sexual violence and atrocities,"" says the US secretary of state, ""and it needs to end immediately"".",NEGATIVE,0.9941884279251099,-0.9941884279251099
12,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.24013230630329677,42,2 hrs ago World The fallout from Nigeria's spectacular $25m museum and the Benin Bronzes Nigeria’s stunning new Museum of West African Art (Mowaa) finds itself in the crosshairs of local power politics.,POSITIVE,0.9960694313049316,0.9960694313049316
12,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.24013230630329677,42,"22 hrs ago Africa Over 200 Kenyans fighting for Russia in Ukraine - minister Russian recruitment networks are targeting Kenyans with fake job offers, authorities say.",NEGATIVE,0.9933364391326904,-0.9933364391326904
12,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.24013230630329677,42,"11 hrs ago World South Sudan leader sacks powerful vice-president in shock move Bol Mel, who is sanctioned by the US for alleged corruption, had been tipped as Kiir's successor.",NEGATIVE,0.646533191204071,-0.646533191204071
12,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.24013230630329677,42,"6 hrs ago Africa 'It's their loss': South African leader hits back at Trump's decision to skip G20 summit Trump said it was a ""total disgrace"" that South Africa was hosting this month's summit.",NEGATIVE,0.9997324347496033,-0.9997324347496033
12,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.24013230630329677,42,"1 day ago Africa  Sudan civil war 'There was a state of terror': Sudan hospital worker describes fleeing before alleged massacre ""I have lost the people whose faces I used to see smiling,"" says Abdu-Rabbu Ahmed after escaping el-Fasher.",NEGATIVE,0.9970642924308777,-0.9970642924308777
12,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.24013230630329677,42,Sudan capital hit by drone attacks a day after RSF agrees to truce - reports The reported strikes come as the military-led government says it would be wary of agreeing to a ceasefire.,NEGATIVE,0.9985215067863464,-0.9985215067863464
12,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.24013230630329677,42,"'Our job is only killing' - how Sudan's brutal militia carried out a massacre BBC Verify tracks how the RSF killed unarmed people in a massacre that humanitarian officials believe left 2,000 dead.",NEGATIVE,0.9913520812988281,-0.9913520812988281
12,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.24013230630329677,42,Sudan's life-saving community kitchens on verge of collapse This follows confirmation by a global hunger monitor that famine conditions are spreading in conflict zones.,NEGATIVE,0.9986953139305115,-0.9986953139305115
