article_index,title,url,avg_label,avg_score,num_sentences,sentence,sent_label,sent_score,sent_value
16,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.4424235997376619,27,News News Australia Australia police arrest 'fortune teller' accused of running $46m scam Police say mother convinced victims to take out loans by predicting a 'billionaire' in their future.,NEGATIVE,0.9896189570426941,-0.9896189570426941
16,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.4424235997376619,27,"19 hrs ago Australia Australia at risk of 'high-impact sabotage' from China, says spy chief Mike Burgess says state-linked hackers have tried to access water, transport and energy networks.",NEGATIVE,0.9975812435150146,-0.9975812435150146
16,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.4424235997376619,27,"2 days ago World Once a sure thing, Australia's bid to host COP31 falters amid deadlock with Turkey If no agreement is reached between the two countries, the German city of Bonn will host by default.",NEGATIVE,0.9994972944259644,-0.9994972944259644
16,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.4424235997376619,27,"3 days ago Australia New 'Lucifer' bee with devil-like horns found in Australia The native bee was found near a rare wildflower, prompting scientists to call for the area to be protected.",NEGATIVE,0.8865754008293152,-0.8865754008293152
16,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.4424235997376619,27,3 days ago Australia Evidence of ancient tree-climbing 'drop crocs' found in Australia Scientists say the crocodiles hunted like leopards by climbing trees and killing prey below.,NEGATIVE,0.9551630616188049,-0.9551630616188049
16,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.4424235997376619,27,2 days ago Australia Watch: Australian windsurfer escapes shark attack Andy McDonald recalls moment he encountered a shark while windsurfing in Western Australia this week.,POSITIVE,0.8677639365196228,0.8677639365196228
16,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.4424235997376619,27,"2 days ago Australia Hazlewood cleared of injury but Abbott out of Test Josh Hazlewood is cleared to join Australia’s squad for the first Ashes Test against England after an injury scare, but fellow pace bowler Sean Abbott is ruled out.",NEGATIVE,0.9778783321380615,-0.9778783321380615
16,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.4424235997376619,27,"2 days ago Australia  Features & Analysis 'Sea legs meant I couldn't bowl' - when England travelled to Australia by boat Wonderful food, the Duke of Norfolk and Fred Trueman refusing to run laps - England's 1962-63 tour of Australia, the last time they travelled by boat.",NEGATIVE,0.6873639822006226,-0.6873639822006226
16,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.4424235997376619,27,"'Nestflix': Peregrine falcon livestream has Australians glued to their screens Fans of the birds, whose lives have been compared to Game of Thrones, are currently waiting with bated breath for this year's chicks to fledge.",POSITIVE,0.9740490913391113,0.9740490913391113
16,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.4424235997376619,27,"Friendly Albanese-Trump meeting masks Australia's creeping doubts about US The talks in Washington were a win for Australia, but at home many are nervous about the relationship.",NEGATIVE,0.9632133841514587,-0.9632133841514587
